epoch,client_0_accuracy,client_0_loss,client_1_accuracy,client_1_loss,client_2_accuracy,client_2_loss,client_3_accuracy,client_3_loss,client_4_accuracy,client_4_loss,client_5_accuracy,client_5_loss,client_6_accuracy,client_6_loss,client_7_accuracy,client_7_loss,client_8_accuracy,client_8_loss,client_9_accuracy,client_9_loss,avg_accuracy,avg_loss
1,0.1135,2.3029036796569824,0.1135,2.3029036796569824,0.1135,2.3029036796569824,0.1135,2.3029036796569824,0.1135,2.3029036796569824,0.1135,2.3029036796569824,0.1135,2.3029036796569824,0.1135,2.3029036796569824,0.1135,2.3029036796569824,0.1135,2.3029036796569824,0.1135,2.3029036796569824
2,0.1258,2.3025199222564696,0.1258,2.3025199222564696,0.1258,2.3025199222564696,0.1258,2.3025199222564696,0.1258,2.3025199222564696,0.1258,2.3025199222564696,0.1258,2.3025199222564696,0.1258,2.3025199222564696,0.1258,2.3025199222564696,0.1258,2.3025199222564696,0.12579999999999997,2.3025199222564696
3,0.141,2.3022299259185792,0.141,2.3022299259185792,0.141,2.3022299259185792,0.141,2.3022299259185792,0.141,2.3022299259185792,0.141,2.3022299259185792,0.141,2.3022299259185792,0.141,2.3022299259185792,0.141,2.3022299259185792,0.141,2.3022299259185792,0.141,2.302229925918579
4,0.1677,2.3016057662963867,0.1677,2.3016057662963867,0.1677,2.3016057662963867,0.1677,2.3016057662963867,0.1677,2.3016057662963867,0.1677,2.3016057662963867,0.1677,2.3016057662963867,0.1677,2.3016057662963867,0.1677,2.3016057662963867,0.1677,2.3016057662963867,0.1677,2.3016057662963867
5,0.1782,2.302961789703369,0.1782,2.302961789703369,0.1782,2.302961789703369,0.1782,2.302961789703369,0.1782,2.302961789703369,0.1782,2.302961789703369,0.1782,2.302961789703369,0.1782,2.302961789703369,0.1782,2.302961789703369,0.1782,2.302961789703369,0.17819999999999997,2.3029617897033687
6,0.1827,2.3275461284637453,0.1827,2.3275461284637453,0.1827,2.3275461284637453,0.1827,2.3275461284637453,0.1827,2.3275461284637453,0.1827,2.3275461284637453,0.1827,2.3275461284637453,0.1827,2.3275461284637453,0.1827,2.3275461284637453,0.1827,2.3275461284637453,0.18270000000000003,2.3275461284637453
7,0.1476,2.471519574356079,0.1476,2.471519574356079,0.1476,2.471519574356079,0.1476,2.471519574356079,0.1476,2.471519574356079,0.1476,2.471519574356079,0.1476,2.471519574356079,0.1476,2.471519574356079,0.1476,2.471519574356079,0.1476,2.471519574356079,0.1476,2.471519574356079
8,0.1028,2.53795622215271,0.1028,2.53795622215271,0.1028,2.53795622215271,0.1028,2.53795622215271,0.1028,2.53795622215271,0.1028,2.53795622215271,0.1028,2.53795622215271,0.1028,2.53795622215271,0.1028,2.53795622215271,0.1028,2.53795622215271,0.1028,2.5379562221527094
9,0.1028,2.3924247634887696,0.1028,2.3924247634887696,0.1028,2.3924247634887696,0.1028,2.3924247634887696,0.1028,2.3924247634887696,0.1028,2.3924247634887696,0.1028,2.3924247634887696,0.1028,2.3924247634887696,0.1028,2.3924247634887696,0.1028,2.3924247634887696,0.1028,2.3924247634887696
10,0.1028,2.3032857917785643,0.1028,2.3032857917785643,0.1028,2.3032857917785643,0.1028,2.3032857917785643,0.1028,2.3032857917785643,0.1028,2.3032857917785643,0.1028,2.3032857917785643,0.1028,2.3032857917785643,0.1028,2.3032857917785643,0.1028,2.3032857917785643,0.1028,2.3032857917785643
