epoch,client_0_accuracy,client_0_loss,client_1_accuracy,client_1_loss,client_2_accuracy,client_2_loss,client_3_accuracy,client_3_loss,client_4_accuracy,client_4_loss,client_5_accuracy,client_5_loss,client_6_accuracy,client_6_loss,client_7_accuracy,client_7_loss,avg_accuracy,avg_loss
1,0.2616,1.914030562210083,0.3082,1.922482878303528,0.2762,1.9752066719055177,0.264,2.012173237609863,0.2454,1.9973799995422363,0.2557,1.9126074073791504,0.2976,1.928423910522461,0.2396,1.9739952865600585,0.2685375,1.9545374942541123
2,0.3623,1.6476980625152589,0.3656,1.6473970993041993,0.2577,2.094780923461914,0.3144,1.9218998344421387,0.3635,1.5813243839263915,0.3379,1.7522637180328369,0.3579,1.6612982269287109,0.3193,1.9001833679199218,0.33482500000000004,1.7758557020664214
3,0.355,1.6629552862167358,0.3706,1.564744851875305,0.3866,1.5391726539611816,0.4056,1.5524989665985107,0.3391,1.944582053375244,0.4188,1.57367098236084,0.3852,1.5577828142166137,0.4253,1.5287177883148193,0.385775,1.6155156746149064
4,0.3736,1.7415687602996826,0.4409,1.5911595958709717,0.4379,1.5601132913589477,0.4322,1.5536980937957763,0.4016,1.7836942527770996,0.4651,1.4236971754074097,0.4623,1.4293623088836669,0.4662,1.454064652633667,0.434975,1.5671697663784028
5,0.4811,1.4130819437026978,0.4049,1.7954804510116578,0.4375,1.6303871406555175,0.4956,1.3623800798416137,0.4295,1.782622336578369,0.4745,1.5001769676208496,0.4447,1.6415708108901979,0.3659,1.9326393966674804,0.4417125,1.632292390871048
6,0.5526,1.2354784788131714,0.5118,1.3615132225036621,0.4608,1.4569749401092529,0.5096,1.3773382234573364,0.5112,1.3906462860107422,0.4354,1.616417714691162,0.5245,1.3118890384674071,0.4124,2.0510717193603516,0.48978750000000004,1.4751662029266357
7,0.4538,1.8290509693145751,0.505,1.43171700592041,0.5397,1.3107910423278808,0.5215,1.3461102394104003,0.5349,1.4532361156463622,0.5696,1.1974538188934327,0.5206,1.409404241847992,0.5199,1.4280394538879395,0.520625,1.425725360906124
8,0.4988,1.6795705659866333,0.4886,1.770924126434326,0.5514,1.258772792816162,0.4748,1.6645573955535888,0.5389,1.4083991764068604,0.546,1.3729652156829835,0.5303,1.4109083156585693,0.5863,1.1704057114601136,0.5268875000000001,1.4670629124999048
9,0.5846,1.189732393836975,0.5689,1.258969599533081,0.5075,1.5562527854919435,0.4842,1.620660414505005,0.5558,1.3592550081253052,0.5035,1.5605618362426759,0.5789,1.2249148286819458,0.516,1.5666011163711548,0.537425,1.4171184978485107
10,0.5749,1.2903777160644532,0.5979,1.1977273765563965,0.5908,1.1472063648223878,0.5919,1.2045681715011596,0.6299,1.0622361301422119,0.6172,1.1036006279945374,0.5375,1.4459040552139282,0.6101,1.2637528551101684,0.593775,1.2144216621756554
11,0.578,1.32245795879364,0.5181,1.6777919649124144,0.5653,1.3690159450531005,0.6215,1.128745502281189,0.5775,1.3266024950981141,0.5824,1.295354712486267,0.574,1.3078427961349488,0.6192,1.1248020893096924,0.5794999999999999,1.3190766830086706
12,0.6195,1.1349102165222167,0.6369,1.072260825920105,0.5999,1.2314560628890991,0.592,1.288271305656433,0.5808,1.3136988277435302,0.6444,1.0236511108398438,0.6195,1.1631452266693114,0.5735,1.3550064043045045,0.6083125,1.1977999975681306
13,0.6453,1.0312948085784912,0.6431,1.0574838781356812,0.615,1.1964200939178466,0.6063,1.3188634727478028,0.6202,1.1074949584960938,0.6657,0.9553660445213318,0.5334,1.5630391218185424,0.5867,1.2622977924346923,0.6144624999999999,1.1865325213313103
14,0.6328,1.1419640707015992,0.5486,1.504552989578247,0.5021,1.734411260986328,0.6555,1.0577541981697083,0.6164,1.2361295101165772,0.531,1.5532508184432983,0.641,1.1229982845306397,0.5621,1.603655562400818,0.5861875000000001,1.369339586865902
15,0.4908,1.9047856369018554,0.5978,1.2514203315734864,0.625,1.1376772401809692,0.6502,1.1875566709518433,0.6499,1.1239394742965698,0.6296,1.2165040071487427,0.6522,1.094004128265381,0.5911,1.4964584124565123,0.610825,1.30154323772192
16,0.5805,1.4689044471740722,0.6267,1.172448553276062,0.5599,1.520576128578186,0.6343,1.171868403816223,0.6602,1.064733805847168,0.6139,1.2542251075744628,0.6681,0.9907066199302673,0.6211,1.2256786115646363,0.6205875,1.2336427097201348
17,0.6326,1.3136251733779907,0.5857,1.355117779159546,0.582,1.533705693435669,0.5991,1.3693000431060791,0.6359,1.2446453327178955,0.6099,1.3019162549972534,0.6395,1.168214461517334,0.6413,1.1721139623641967,0.61575,1.3073298375844957
18,0.6311,1.2019105276107789,0.5854,1.5197676504135131,0.641,1.1345045372009277,0.6492,1.1610746974945068,0.666,1.0604196617126465,0.6714,0.9867633502960205,0.6471,1.16608038482666,0.6643,1.0258751700401305,0.6444375,1.157049497449398
19,0.6507,1.1196388303756715,0.6597,1.0246340101242066,0.6301,1.247001718902588,0.6064,1.478226439857483,0.6512,1.180791890335083,0.6484,1.1607954916000367,0.69,0.9581010456085205,0.6491,1.1494051933288574,0.6482,1.164824327516556
20,0.6516,1.1751968797683716,0.6585,1.0599307846069337,0.6397,1.2479180932998657,0.6306,1.2825452922821046,0.6591,1.1321796646118165,0.6332,1.2667537346839906,0.6471,1.21389746799469,0.6068,1.5096631538391114,0.640825,1.2360106338858605
21,0.7116,0.8991369216918945,0.655,1.1542269607543945,0.6635,1.0884201477050781,0.6263,1.2933610850334167,0.6657,1.1132250888824462,0.6461,1.27688056640625,0.6086,1.3531517006874085,0.7098,0.9227302101135254,0.660825,1.1376415851593018
22,0.6855,0.9884548768997192,0.6668,1.1328338888168334,0.6153,1.4772558912277223,0.6067,1.4985251070022583,0.6005,1.599187353515625,0.6899,0.9725222946166993,0.6434,1.2444508766174316,0.6859,1.0484075414657592,0.64925,1.2452047287702561
23,0.6776,1.1138611171722412,0.6258,1.404289444732666,0.6836,1.0101541439056396,0.6044,1.8290410400390624,0.6811,1.0391436417579651,0.7181,0.9041102130889893,0.6817,1.1384742025375367,0.6877,1.0798072179794311,0.67,1.1898601276516914
24,0.6901,1.042743191051483,0.6583,1.1786691359519958,0.6606,1.1137002257347106,0.6569,1.1964735704421996,0.676,1.219977805519104,0.6672,1.1657795581817627,0.6871,1.0521886758804322,0.7126,0.9673119921684266,0.6760999999999999,1.1171055193662642
